구분,사례수,포털사이트,SNS,여행 관련 블로그,개별 관광지 또는 관광시설 홈페이지,동영상 플랫폼(유튜브 등),여행사 홈페이지,여행_숙박 전문 사이트 앱,공공기관 홈페이지(문화부_공사_지자체 등),기타,계
전체,4688,88.8,4.7,4,1,0.6,0.3,0.3,0.3,0.2,100
(관광지 유형(대분류))관광장소 및 시설,3610,88.7,4.9,4.1,1.1,0.3,0.3,0.2,0.2,0.2,100
(관광지 유형(대분류))문화,452,94.1,2.5,1.7,0.2,0.7,0.2,0,0.6,0,100
(관광지 유형(대분류))자연 및 생태환경,625,85.4,5,5.4,0.7,2.3,0.2,0.5,0.3,0.3,100
(관광지 유형(중분류))공원,29,98.2,1.8,0,0,0,0,0,0,0,100
(관광지 유형(중분류))관광지구,305,93.2,1.3,5.3,0.1,0.1,0,0,0,0,100
(관광지 유형(중분류))숙박음식시설,143,78.5,4.4,7.7,2.6,0.8,0.8,3.5,0.5,1.3,100
(관광지 유형(중분류))스포츠체육시설,42,80.1,1.5,15,3,0.4,0,0,0,0,100
(관광지 유형(중분류))유원휴양수련시설,2452,89.3,5.2,3.4,1,0.3,0.4,0,0.2,0.2,100
(관광지 유형(중분류))전시관람시설,640,86.4,5.9,4.5,1.9,0.2,0,0.6,0.3,0.2,100
(관광지 유형(중분류))건축,164,95.3,3,0.6,0,0.6,0,0,0.6,0,100
(관광지 유형(중분류))마을,132,93.7,2.8,0.6,0.6,1.4,0.6,0,0.3,0,100
(관광지 유형(중분류))유적지 및 사적지,157,93.3,1.9,3.7,0,0.3,0,0,0.8,0,100
(관광지 유형(중분류))경승지,32,91.8,0,3.9,1.3,3,0,0,0,0,100
(관광지 유형(중분류))동식물,15,85.8,2.8,2.8,0,0,2.8,0,0,5.7,100
(관광지 유형(중분류))보호구역,63,80.4,2,13.4,0,2.2,0,1.3,0.7,0,100
(관광지 유형(중분류))산악 및 평지자원,32,92.3,2.4,5.3,0,0,0,0,0,0,100
(관광지 유형(중분류))수변 및 해양자원,484,85.2,5.9,4.5,0.8,2.4,0.2,0.5,0.3,0.2,100
(조사분기)2분기,1759,87.4,4,6.9,0.5,0.1,0.1,0.4,0.1,0.5,100
(조사분기)3분기,1503,89.9,5.5,1.7,0.8,0.9,0.6,0.2,0.2,0.1,100
(조사분기)4분기,1426,89.2,4.6,2.8,1.7,0.9,0.1,0.1,0.5,0,100
(성별)남성,2106,89.6,3.6,3.9,1,0.5,0.5,0.3,0.4,0.3,100
(성별)여성,2582,88.1,5.5,4.1,1,0.7,0.1,0.2,0.1,0.1,100
(연령)10대,303,91.8,4.9,2.8,0,0,0.5,0,0,0,100
(연령)20대,1160,85.1,8.4,4.6,0.9,0.1,0.1,0.4,0.2,0.1,100
(연령)30대,1502,89,5.3,3.8,0.6,0.2,0.1,0.3,0.4,0.2,100
(연령)40대,928,90.4,1.8,4.7,1.3,0.7,0.3,0.1,0,0.5,100
(연령)50대,488,91,1.5,4.2,1.8,0.8,0,0,0.7,0,100
(연령)60대 이상,308,89.5,0.9,1.4,1.7,4.3,1.6,0.6,0,0,100
(지역1)서울,1291,88.4,5,4,1,0.8,0,0.4,0.2,0.1,100
(지역1)경기/인천,2547,88.8,4.7,3.8,0.9,0.5,0.4,0.3,0.4,0.3,100
(지역1)수도권 외,850,89.2,4.1,4.5,1.3,0.5,0.3,0,0.1,0,100
(지역2)동일 시군거주,191,87.5,3.7,6.6,0.3,0.1,0.8,0.7,0,0.3,100
(지역2)이외 시군거주,4497,88.8,4.7,3.9,1,0.6,0.2,0.2,0.3,0.2,100
