구분,사례수,네이버,인스타그램,페이스북,유튜브,다음,구글,경기관광 포털,야놀자,여기어때,트위터,틱톡,카카오스토리,대한민국 구석구석,아고다,국립현대미술관(MMCA),호텔스 컴바인,지자체 홈페이지(연천군 등),에어비앤비,야후,비메오,문화체육관광부,싸이월드,인터파크,트리플,서울대공원 홈페이지,트립닷컴,데일리 호텔,와이아웃,경기도 시설 관리 공단,잡월드,애기야 가자,네이버밴드
전체,4564,93.1,12.6,3,2.2,1.6,0.7,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
(관광지 유형(대분류))관광장소 및 시설,3517,93.7,13.6,3.6,1.8,1.2,0.8,0.4,0.4,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
(관광지 유형(대분류))문화,448,94.9,6,1,3.2,2.2,0.5,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(대분류))자연 및 생태환경,600,88.1,11.5,1.2,3.9,4,0.2,1,0.4,0.4,0,0.1,0.5,0.4,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))공원,29,97.4,3.6,0,0,2.6,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))관광지구,300,95,5.8,2,0.6,2.3,1.7,0.4,0,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))숙박음식시설,132,90,12.4,0,4.3,1,0.8,1.3,0,1.6,0,0,0,0,0,0,0,0.3,1.1,0,0,0,0,1.5,0,0,0,0,0.5,0.5,0,0,0
(관광지 유형(중분류))스포츠체육시설,36,94.2,4.5,0,5.9,3.6,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))유원휴양수련시설,2399,94.9,14.8,4.5,2,0.7,0.5,0.3,0.4,0,0.2,0.2,0.1,0.1,0.2,0,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0
(관광지 유형(중분류))전시관람시설,620,89,14.2,2.1,1.1,2.3,1.7,0.8,0.8,0.1,0.5,0.1,0.2,0.2,0,0.8,0.2,0,0,0,0.2,0.1,0,0,0,0.3,0.1,0,0,0,0.1,0.1,0.1
(관광지 유형(중분류))건축,164,93.8,9.9,1.1,0.6,2.3,0.5,0,0.4,0,0.3,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))마을,131,96.5,2.8,0,7.6,1.8,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))유적지 및 사적지,153,94.7,4.5,1.8,2.2,2.5,1.1,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))경승지,31,97.4,0,0,8,2.6,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))동식물,13,90.7,0,0,0,6.2,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))보호구역,60,82.7,11.1,4.3,3.5,5.5,1.3,0,1.4,2.1,0,0.9,1.4,0,0,0,0,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))산악 및 평지자원,32,90.7,6.8,5.5,0,6.8,0,2.3,1.2,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(관광지 유형(중분류))수변 및 해양자원,464,87.9,13,0.6,4.1,3.6,0.1,1.1,0.3,0.3,0,0,0.2,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(조사분기)2분기,1704,93.4,15.2,2.3,0.7,2.4,0.9,0.4,0.8,0.3,0.1,0,0.1,0.1,0.3,0,0.3,0,0.2,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0
(조사분기)3분기,1473,92.6,12.7,4.1,4,1.5,0.9,0.5,0.2,0.2,0.1,0.4,0.4,0.3,0,0.1,0,0.1,0,0,0.2,0.1,0,0,0,0,0.1,0,0,0,0,0,0
(조사분기)4분기,1387,93.2,9.3,2.8,2.3,1,0.3,0.6,0.1,0,0.2,0.1,0,0,0,0.3,0,0.2,0,0.2,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0
(성별)남성,2050,93.4,11.5,3.1,2.3,2,1,0.6,0.3,0.1,0,0.1,0.2,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0
(성별)여성,2515,92.8,13.5,3,2.2,1.4,0.4,0.4,0.5,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0
(연령)10대,299,98.3,21.8,8.9,1.9,0,0,0,1.2,0,1.2,0.5,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(연령)20대,1137,91.4,21.2,5.4,1.9,1.2,0.8,0.4,0.7,0.1,0.2,0.3,0.1,0.1,0,0.2,0,0.1,0,0,0.1,0,0.2,0,0.2,0,0.1,0,0,0,0,0,0
(연령)30대,1468,93.5,13.1,2.3,2,0.9,0.6,0.7,0.1,0.2,0,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
(연령)40대,898,93.7,6.9,1.2,2.2,2.6,0.9,0.2,0.2,0.2,0.1,0.1,0,0.2,0.1,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0
(연령)50대,466,93.1,2.8,0.7,1.7,2.7,0.9,1,0.2,0,0,0,0,0,0,0,0,0.4,0,0.5,0,0.3,0,0,0,0.4,0,0,0,0.1,0,0,0
(연령)60대 이상,297,90,1,0.5,5.6,4.2,0.6,0.7,0.2,0.7,0,0,0.7,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(지역1)서울,1260,91.5,13,2,2.4,1.7,1,0.2,0.2,0.1,0.2,0,0.2,0,0,0.4,0,0.1,0.2,0.1,0.1,0,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0
(지역1)경기/인천,2474,92.8,12.6,2.7,2,1.9,0.7,0.7,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0
(지역1)수도권 외,830,96.2,12.2,5.5,2.7,0.8,0.2,0.2,1.3,0.1,0,0.6,0.1,0.4,0.6,0,0.6,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0
(지역2)동일 시군거주,182,92.5,13.5,1.5,0.1,1,1.8,0,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
(지역2)이외 시군거주,4383,93.1,12.6,3.1,2.3,1.7,0.7,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
